area_type,availability,location,size,society,total_sqft,Hospitals,Public Connectivity,price
Super built-up  Area,18-Mar,Whitefield,3 sq mt,Prtates,1655,3,3,120
Super built-up  Area,Ready To Move,Kanakpura Road,3 sq mt,,1691.2,3,1,115
Super built-up  Area,18-Jun,Ramagondanahalli,2 sq mt,ViistLa,1215,2,1,46.1
Super built-up  Area,Ready To Move,Kanakpura Road,2 sq mt,Wiowsri,1200,2,0,50.125
Super built-up  Area,22-Jun,Hoodi,3 sq mt,GoAirej,1639,3,2,129
Super built-up  Area,18-Apr,Sarjapur  Road,3 sq mt,PualeSk,1685,3,1,135
Built-up  Area,Ready To Move,Kaveri Nagar,5 sq km,,1008,4,2,180
Super built-up  Area,Ready To Move,Hormavu,2 sq mt,Jhntspa,1100,2,3,38
Super built-up  Area,19-Sep,Marathahalli,3 sq mt,Vaeva E,2122,3,2,125
Super built-up  Area,Ready To Move,Vasanthapura,2 sq mt,,1050,2,2,47
Built-up  Area,Ready To Move,Kengeri,2 sq mt,Sravema,1230,2,2,45
Super built-up  Area,Ready To Move,5th Phase JP Nagar,3 sq mt,,1240,3,2,60
Built-up  Area,16-Oct,Electronic City Phase II,3 sq mt,Brods W,1252,2,3,65
Super built-up  Area,Ready To Move,Canara Bank Colony,3 sq mt,,1374,2,2,88
Super built-up  Area,18-Jul,8th Phase JP Nagar,1 sq mt,Maian M,500,1,1,30
Plot  Area,Ready To Move,Arekere,8 sq km,,1200,8,2,225
Super built-up  Area,18-Dec,Hebbal,3 sq mt,Magiaya,1355,3,2,83.87
Super built-up  Area,Ready To Move,Banashankari,2 sq mt,,1040,2,3,45
Super built-up  Area,Ready To Move,Sarjapur  Road,2 sq mt,Contsci,1350,2,2,68
Super built-up  Area,18-Apr,Whitefield,4 sq mt,Prtates,4003,6,3,300
Super built-up  Area,Ready To Move,Hennur,3 sq mt,JahtsHe,2400,3,,135
Super built-up  Area,Ready To Move,Haralur Road,3 sq mt,Grterrr,1560,3,1,90
Super built-up  Area,17-Jul,Anandapura,2 sq mt,ViensRK,1151,2,1,43.16
Super built-up  Area,Ready To Move,Uttarahalli,3 sq mt,,1360,2,2,47.59
Super built-up  Area,Ready To Move,Crimson Layout,2 sq mt,ARntyne,1250,2,2,60
Super built-up  Area,19-Dec,Chandapura,3 sq mt,SuVue S,1110,2,2,29.97
Built-up  Area,Ready To Move,Hennur Road,2 sq mt,Baesta ,1015,2,2,50
Super built-up  Area,Ready To Move,Kadugodi,3 sq mt,Trade E,1351,2,2,78
Super built-up  Area,Ready To Move,Yelahanka New Town,2 sq mt,KHatsFl,960,2,2,50
Super built-up  Area,18-May,Virat Nagar,2 sq mt,,1110,2,2,52
Built-up  Area,Ready To Move,R.T. Nagar,3 sq mt,GModsNR,1680,3,2,72
Plot  Area,Ready To Move,Arekere,3 sq km,Vetanan,2400,3,1,180
Plot  Area,18-Apr,Yemlur,4 sq km,Epllan ,11000,5,3,2000
Built-up  Area,18-Mar,Ramamurthy Nagar Extension,3 sq mt,SaaceSa,1350,3,2,48.6
Super built-up  Area,Ready To Move,Horamavu Banaswadi,2 sq mt,Asorai ,1254,2,2,47
Super built-up  Area,Ready To Move,Haralur Road,3 sq mt,Ozensve,1255,3,2,115
Super built-up  Area,Ready To Move,CV Raman Nagar,2 sq mt,ARestco,1051,2,3,61
Plot  Area,Ready To Move,"2nd phase jp nagar, jp nagar",3 sq km,,1200,3,1,205
Built-up  Area,Ready To Move,Uttarahalli,2 sq mt,RaontWa,1099,2,2,65
Super built-up  Area,Ready To Move,Hebbal,3 sq mt,SNontle,2650,4,3,199
Built-up  Area,18-May,Mathikere Extension,4 sq km,,2000,2,1,160
Super built-up  Area,Ready To Move,Yeshwanthpur,2 sq mt,RNvasth,1541,2,2,130
Plot  Area,18-May,Sarjapur  Road,3 sq km,Cetattu,1200,3,2,70
Built-up  Area,Ready To Move,Whitefield,2 sq mt,GCngsn ,1125,2,2,45
Super built-up  Area,Ready To Move,Vittasandra,3 sq mt,Prlla C,1650,3,2,85
Super built-up  Area,Ready To Move,Ashwini layout,1 sq mt,Kaantth,834,1,1,62
Super built-up  Area,Ready To Move,Gollarapalya Hosahalli,3 sq mt,Mauner ,1320,3,2,60
Plot  Area,Ready To Move,Malleshpalya,3 sq km,,1200,3,1,149
Plot  Area,Ready To Move,Indra Nagar,8 sq km,,1000,7,0,160
Super built-up  Area,19-Apr,Mysore Road,3 sq mt,Brama P,1500,3,2,74
Plot  Area,Ready To Move,Whitefield,4 sq km,Pronege,4400,5,2,500
,,,,,,,,
Plot  Area,Ready To Move,Moodalapalya,1 sq km,,600,1,0,52
Super built-up  Area,Ready To Move,Whitefield,2 sq mt,Suram S,1180,2,2,70
Super built-up  Area,Ready To Move,Kadugodi,2 sq mt,SLoven ,1010,2,1,50
Super built-up  Area,Ready To Move,Channasandra,2 sq mt,,1070,2,1,38
Super built-up  Area,Ready To Move,Choodasandra,3 sq mt,,1580,3,3,105
Plot  Area,Ready To Move,BEML Layout 5th Stage,4 sq km,,1200,5,,325
Super built-up  Area,Ready To Move,Green Glen Layout,3 sq mt,,2000,3,,165
Super built-up  Area,Ready To Move,Iblur Village,3 sq mt,DNionfl,1920,3,2,130
Super built-up  Area,Ready To Move,Sanjay nagar,3 sq mt,,1200,2,1,76
Built-up  Area,Ready To Move,Kalena Agrahara,2 sq mt,Prmesi ,1040,2,2,45
Super built-up  Area,Ready To Move,Hulimavu,3 sq mt,Inods A,1430,2,2,90
Super built-up  Area,Ready To Move,Uttarahalli,3 sq mt,,1215,2,2,52.85
Super built-up  Area,Ready To Move,Domlur,1 sq mt,Saiewas,650,1,1,70
Super built-up  Area,Ready To Move,Thanisandra,3 sq mt,Soitya ,1564,3,1,105
Built-up  Area,Ready To Move,Manonarayanapalya,3 sq km,,800,2,1,52
Built-up  Area,Ready To Move,Hormavu,2 sq km,,750,2,0,58
Super built-up  Area,Ready To Move,Kasavanhalli,2 sq mt,,1200,2,2,60
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 sq mt,GrrvaGr,1128,2,1,48.79
Super built-up  Area,Ready To Move,Begur Road,2 sq mt,Dhalsh ,1200,2,2,44.4
Super built-up  Area,Ready To Move,Cholanayakanahalli,4 sq mt,,2000,4,1,135
Super built-up  Area,Ready To Move,Jakkur Plantation,3 sq mt,Leora D,2750,3,,260
Plot  Area,Ready To Move,4th T block Jayanagar,4 sq km,,2400,4,2,480
Built-up  Area,Ready To Move,Yelahanka,3 sq mt,BKideor,1650,3,3,105
Super built-up  Area,18-Jun,1st Block Jayanagar,2 sq mt,,1235,2,2,148
Built-up  Area,Ready To Move,Yelahanka,2 sq mt,JSlipTu,1200,2,2,55
Super built-up  Area,Ready To Move,M V Extenstion,6 sq mt,,900,5,,100
Super built-up  Area,Ready To Move,Kengeri Satellite Town,2 sq mt,Malowr ,985,2,2,42
Super built-up  Area,18-May,Ramagondanahalli,3 sq mt,ViistLa,1475,2,2,63
Super built-up  Area,Ready To Move,Hebbal,3 sq mt,Brium C,3450,5,0,348
Super built-up  Area,19-Nov,Sarjapur  Road,3 sq mt,AsastDe,1157,2,1,53.99
Built-up  Area,Ready To Move,Canara Bank Colony,2 sq mt,Apvas N,900,2,3,35
Plot  Area,Ready To Move,Gottigere,4 sq km,,2500,3,2,120
Built-up  Area,Ready To Move,GM Palaya,2 sq mt,,1030,2,1,60
Super built-up  Area,18-Apr,Kamdhenu Nagar,2 sq mt,,1000,2,1,46
Built-up  Area,Ready To Move,Sarjapur  Road,4 sq km,Vaunei ,3800,3,3,325
Plot  Area,18-May,Kasavanhalli,4 sq km,,4260,4,2,333
Plot  Area,Ready To Move,Brookefield,5 sq km,Goodsrb,1950,6,3,175
Super built-up  Area,Ready To Move,Kudlu,3 sq mt,GKityde,1570,2,2,65.94
Super built-up  Area,18-Aug,Kanakapura,2 sq mt,GoityEt,1283,2,2,68
Built-up  Area,Ready To Move,Electronic City Phase II,3 sq mt,Assha A,875,2,2,40
Super built-up  Area,Ready To Move,Vinayaka Nagar,2 sq mt,,1200,2,2,52
Plot  Area,Ready To Move,HAL 2nd Stage,3 sq km,,2700,3,0,500
Plot  Area,Ready To Move,Konanakunte,3 sq km,,2400,2,3,180
Super built-up  Area,Ready To Move,Kathriguppe,3 sq mt,,1250,2,2,68.75
Super built-up  Area,18-Feb,Old Madras Road,4 sq mt,Brica E,3630,6,1,196
Super built-up  Area,Ready To Move,Yelahanka,2 sq mt,Pyikad ,990,2,2,37.62
Super built-up  Area,Ready To Move,Panathur,2 sq mt,Prcesvy,1199,2,1,85
Super built-up  Area,Ready To Move,Brindavan Nagar,2 sq mt,,1280,2,2,90
Super built-up  Area,20-May,1st Block Jayanagar,4 sq mt,,2750,4,0,413
Built-up  Area,Ready To Move,Reliaable Tranquil Layout,2 sq mt,Myhrie ,1190,2,1,55
Super built-up  Area,Ready To Move,Yelachenahalli,2 sq mt,,1100,2,2,60
Super built-up  Area,Ready To Move,RMV,3 sq mt,,2075,3,1,175
Built-up  Area,Ready To Move,Harlur,2 sq mt,Spiteid,1133,2,1,55
Built-up  Area,Ready To Move,Somasundara Palya,4 sq mt,ManceEl,2400,3,3,140
Super built-up  Area,Ready To Move,Whitefield,2 sq mt,,1280,2,2,69
Super built-up  Area,Ready To Move,Horamavu Agara,3 sq mt,,1250,3,2,65
Super built-up  Area,Ready To Move,Begur Road,3 sq mt,Dhalsh ,1565,2,2,49.3
Super built-up  Area,Ready To Move,Pattanagere,3 sq mt,,1900,3,0,65
Built-up  Area,Ready To Move,Munnekollal,2 sq mt,PancyRe,1080,2,2,45
Super built-up  Area,Ready To Move,Battarahalli,1 sq mt,,600,1,0,47
Plot  Area,Ready To Move,Himagiri Meadows,3 sq km,Hiowsi ,1240,4,1,180
Built-up  Area,Ready To Move,HRBR Layout,3 sq mt,Fleepi ,1335,2,1,87
Super built-up  Area,Ready To Move,Vittasandra,2 sq mt,,1246,2,1,67.3
Super built-up  Area,18-Dec,JP Nagar,3 sq mt,Pehtsa ,3103,,,237.5
Super built-up  Area,Ready To Move,Sarjapur  Road,3 sq mt,,1385,3,1,55
Super built-up  Area,18-Nov,Govindpura,3 sq mt,,1578,3,1,73.9
Super built-up  Area,Ready To Move,HSR Layout,2 sq mt,NRosete,1140,2,2,46
Super built-up  Area,18-Dec,Sarjapur  Road,3 sq mt,PualeSk,1700,3,1,79.9
Plot  Area,Ready To Move,Ganganahalli,4 sq km,,1050,4,0,90
Built-up  Area,Ready To Move,Vidyaranyapura,2 sq mt,,1120,2,1,70
Super built-up  Area,Ready To Move,Electronic City,1 sq mt,GMown E,435,1,1,22
Super built-up  Area,Ready To Move,Magadi Road,2 sq mt,Vrenty ,1116,2,1,51.89
Super built-up  Area,Ready To Move,Old Madras Road,3 sq mt,Brglede,1480,3,2,95
Built-up  Area,Ready To Move,Hormavu,2 sq mt,Foisha ,1000,2,2,50
Super built-up  Area,Ready To Move,HSR Layout,2 sq mt,NRosete,1145,2,2,46
Super built-up  Area,Ready To Move,Bommasandra,2 sq mt,Niara S,800,1,1,32
Super built-up  Area,18-Apr,Thanisandra,2 sq mt,Bhmesy ,1265,2,1,83
Super built-up  Area,21-Jul,Devanahalli,3 sq mt,Oznuean,1450,3,0,88.2
Super built-up  Area,Ready To Move,Narayanappa Garden,2 sq mt,Vacle P,1475,2,1,70
Super built-up  Area,Ready To Move,BTM 2nd Stage,2 sq mt,Jancyva,1265,2,2,55
Built-up  Area,Ready To Move,Anandapura,2 sq km,,1200,2,0,58
Super built-up  Area,Ready To Move,1st Phase JP Nagar,3 sq mt,Prhtsok,2180,3,2,210
Super built-up  Area,Ready To Move,Brookefield,2 sq mt,Usnexra,1080,2,3,50
Super built-up  Area,Ready To Move,Whitefield,3 sq mt,Priew P,2023,4,2,130
Super built-up  Area,Ready To Move,Hanumantha Nagar,2 sq mt,,2400,2,3,125
Super built-up  Area,Ready To Move,Kadubeesanahalli,3 sq mt,Srhan P,1545,2,2,66
Super built-up  Area,Ready To Move,Kalena Agrahara,3 sq mt,Prillot,1804,3,2,166
Plot  Area,Ready To Move,3rd Block Hrbr Layout,2 sq km,,1200,2,1,200
Super built-up  Area,Ready To Move,6th Phase JP Nagar,3 sq mt,,1350,2,,58
Super built-up  Area,21-Dec,Hoodi,2 sq mt,GoAirej,1108,2,1,74.23
Super built-up  Area,Ready To Move,Marathahalli,3 sq mt,Asintas,1730,3,2,115
Super built-up  Area,Ready To Move,RWF West Colony,3 sq mt,PancyRe,1427,2,3,70
Super built-up  Area,Ready To Move,Yelahanka,2 sq mt,Pyikad ,935,2,1,35.53
Super built-up  Area,Ready To Move,Sarjapura - Attibele Road,2 sq mt,Soe 2as,1073,2,2,31.77
Built-up  Area,Ready To Move,Ananth Nagar,2 sq mt,Patri M,960,2,3,37
Super built-up  Area,Ready To Move,Thigalarapalya,3 sq mt,Prtanha,2215,4,2,150
Built-up  Area,18-Aug,Electronic City Phase II,2 sq mt,Sryalan,1125,2,1,32.49
Built-up  Area,Ready To Move,Brookefield,2 sq mt,,1230,2,3,55
Super built-up  Area,Ready To Move,Mahadevpura,2 sq mt,Neagar ,1438,2,,89
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 sq mt,Brnia G,1080,2,2,75
Plot  Area,Ready To Move,Hebbal Kempapura,3 sq km,,1200,3,,125
Plot  Area,Ready To Move,Marathahalli,2 sq km,,1200,1,1,103
Super built-up  Area,Ready To Move,Uttarahalli,3 sq mt,Aklia R,1590,3,2,58
Super built-up  Area,Ready To Move,Seetharampalya,3 sq mt,Mazler ,1350,3,2,68
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 sq mt,,1400,2,2,48
Super built-up  Area,Ready To Move,Kaggadasapura,3 sq mt,Aincyev,1560,2,3,72
Built-up  Area,Ready To Move,Mallasandra,4 sq mt,Shbhi S,1810,3,2,57
Super built-up  Area,Ready To Move,Kanaka Nagar,3 sq mt,SoniaPe,2274.24,4,1,160
Super built-up  Area,18-Dec,Sonnenahalli,3 sq mt,Skacak ,1484,3,1,74.18
Built-up  Area,Ready To Move,Indira Nagar,3 sq mt,MCtleas,1650,3,3,220
Super built-up  Area,Ready To Move,Stage-4 Bommanahalli,3 sq mt,Pantsce,1455,2,2,55
Super built-up  Area,Ready To Move,Thanisandra,3 sq mt,G conTh,2280,4,2,184
Super built-up  Area,Ready To Move,Rest House Road,5 sq mt,,4900,5,,980
Built-up  Area,18-Apr,Frazer Town,3 sq mt,,2079,3,3,220
Super built-up  Area,Ready To Move,Bharathi Nagar,2 sq mt,FoapeWa,1351,2,2,74
Super built-up  Area,Ready To Move,Kanakpura Road,3 sq mt,,1223,2,2,42.81
Super built-up  Area,18-Jun,KR Puram,3 sq mt,MCnexva,1430,2,1,61
Built-up  Area,Ready To Move,Whitefield,4 sq km,Prrry M,3589,5,0,400
Super built-up  Area,18-Aug,Electronic City Phase II,3 sq mt,Sryalan,1310,2,2,37.83
Plot  Area,Ready To Move,Channasandra,4 sq km,,1800,4,1,300
Plot  Area,18-May,Giri Nagar,4 sq km,,1120,4,2,175
Super built-up  Area,18-Nov,Sarjapur  Road,2 sq mt,AsastDe,984,2,1,55
Built-up  Area,Ready To Move,Jalahalli,3 sq mt,Reodsnc,1770,3,3,100
Plot  Area,Ready To Move,Immadihalli,2 sq km,,900,3,1,105
Plot  Area,Ready To Move,Ramamurthy Nagar,5 sq km,,1350,5,1,120
Super built-up  Area,18-Jul,Bhoganhalli,2 sq mt,Rosha I,1447,2,1,75.97
Built-up  Area,Ready To Move,Margondanahalli,2 sq km,,1140,2,1,60
Super built-up  Area,18-Jul,Bommanahalli,2 sq mt,,1170,2,3,34
Super built-up  Area,Ready To Move,Poorna Pragna Layout,2 sq mt,,1160,2,2,46.39
Super built-up  Area,19-Jul,Kanakpura Road,2 sq mt,Soena A,1296,2,1,89
Built-up  Area,Ready To Move,Kempapura,3 sq mt,Vaenev ,1570,3,2,80
Super built-up  Area,Ready To Move,Nagappa Reddy Layout,3 sq mt,Ablmsol,1495,2,2,65
Super built-up  Area,Ready To Move,Hoodi,3 sq mt,Shyalha,1530,2,2,67
Plot  Area,Ready To Move,Rajaji Nagar,5 sq km,,900,4,0,140
Super built-up  Area,Ready To Move,Gunjur,3 sq mt,Paestol,1800,3,1,70
Super built-up  Area,Ready To Move,Bellandur,2 sq mt,DSpazTo,1088,2,2,48
Super built-up  Area,19-Mar,Hosa Road,3 sq mt,Skume R,1533,3,1,98.18
Super built-up  Area,Ready To Move,Rachenahalli,2 sq mt,,1100,2,1,68
Built-up  Area,Ready To Move,Thubarahalli,3 sq mt,Asnts a,1540,3,3,90
Super built-up  Area,Ready To Move,Hebbal,2 sq mt,Jancyes,1244,3,,48
Super built-up  Area,19-Mar,Hosa Road,2 sq mt,Skume R,1040,2,1,68.59
Built-up  Area,Ready To Move,Ex-Servicemen Colony Dinnur Main Road R.T.Nagar,6 sq mt,,1034,6,2,101
Super built-up  Area,Ready To Move,Begur Road,2 sq mt,,1260,2,1,39.69
Super built-up  Area,Ready To Move,Uttarahalli,2 sq mt,Shony S,1180,2,1,41.3
Super built-up  Area,Ready To Move,Thigalarapalya,2 sq mt,Prtanha,1245,2,2,100
Super built-up  Area,Ready To Move,Dollars Colony,3 sq mt,,1350,3,0,75
Super built-up  Area,Ready To Move,KUDLU MAIN ROAD,3 sq mt,,1464,3,2,56
Super built-up  Area,Ready To Move,Alur,1 sq mt,,470,2,1,10
Super built-up  Area,Ready To Move,Vijayanagar,2 sq mt,,920,2,2,60
Built-up  Area,Ready To Move,Vijay Nagar,6 sq km,,2300,7,0,160
Super built-up  Area,Ready To Move,Sarjapur,2 sq mt,DSousyl,1124,2,1,30.35
Super built-up  Area,19-Sep,Yelahanka New Town,4 sq mt,,2095,3,1,109
Super built-up  Area,20-Aug,Begur Road,2 sq mt,Pruthg ,1100,2,1,71.42
Super built-up  Area,Ready To Move,Vijayanagar,2 sq mt,Smentha,1019,2,1,58
Super built-up  Area,Ready To Move,Harlur,3 sq mt,SosicCl,1756,3,2,128
Super built-up  Area,18-May,Bommasandra,3 sq mt,SSestth,1280,3,1,50
Plot  Area,Ready To Move,Kenchenahalli,4 sq km,,1200,3,2,125
Super built-up  Area,Ready To Move,Indira Nagar,3 sq mt,,1700,3,2,150
Super built-up  Area,18-Dec,Whitefield,3 sq mt,Prtates,2134,4,2,118
Super built-up  Area,18-Jun,Hosa Road,2 sq mt,Sosisic,1369.1,2,1,98
Plot  Area,Ready To Move,Subramanyapura,3 sq km,,600,3,1,69
Plot  Area,Ready To Move,Hennur Bande,3 sq km,,1313,4,,150
Super built-up  Area,Ready To Move,Carmelaram,3 sq mt,DSensn ,2515,4,3,155
Super built-up  Area,Ready To Move,Thigalarapalya,3 sq mt,Prtanha,2215,4,2,154
Super built-up  Area,Ready To Move,Basapura,3 sq mt,Amageru,1440,3,2,72
Super built-up  Area,Ready To Move,Hennur Road,3 sq mt,Koagati,1186,2,2,55.33
Super built-up  Area,Ready To Move,Uttarahalli,3 sq mt,,1350,2,2,47.24
Super built-up  Area,Ready To Move,Hebbal,3 sq mt,Chtert ,1800,3,2,140
Built-up  Area,Ready To Move,Kudlu,3 sq mt,GKityde,1600,3,3,79
Built-up  Area,Ready To Move,GM Palaya,2 sq mt,Srg Bnc,1000,2,1,35
Super built-up  Area,Ready To Move,Cunningham Road,3 sq mt,,2275,3,3,285
Super built-up  Area,Ready To Move,Banashankari Stage III,3 sq mt,Pridsi ,1305,2,1,59
Super built-up  Area,20-Jan,Binny Pete,3 sq mt,She 2rk,1740,3,1,150
Built-up  Area,Ready To Move,Malleshwaram,2 sq mt,,900,2,1,90
Built-up  Area,Ready To Move,Benson Town,2 sq mt,Gohts H,1567,3,0,140
Super built-up  Area,Ready To Move,Kambipura,3 sq mt,Prrtht ,1082,2,1,45.5
Built-up  Area,Ready To Move,Nagarbhavi,2 sq mt,,1050,2,1,80
Super built-up  Area,Ready To Move,Atmananda Colony,2 sq mt,,1200,2,1,56
Built-up  Area,Ready To Move,Begur,3 sq km,Duity C,3500,4,2,185
Super built-up  Area,Ready To Move,Dasarahalli,2 sq mt,Syonyph,1220,2,2,52
Super built-up  Area,18-Apr,Binny Pete,3 sq mt,,1970,3,2,164
Super built-up  Area,20-Dec,CMH Road,3 sq mt,,2665,3,1,350
Built-up  Area,Ready To Move,Kanakapura,4 sq mt,,2130,4,0,120
Super built-up  Area,Ready To Move,Harlur,3 sq mt,,1749,3,2,120
Super built-up  Area,18-Jun,Subramanyapura,2 sq mt,,1260,2,1,108
,,,,,,,,
Super built-up  Area,Ready To Move,6th Phase JP Nagar,2 sq mt,NCierar,1170,2,2,120
Super built-up  Area,Ready To Move,Ankappa Layout,3 sq mt,Ajens G,1670,3,2,75
Super built-up  Area,Ready To Move,Hennur Road,3 sq mt,Samittv,2264,3,2,168
Super built-up  Area,15-Oct,Byadarahalli,4 sq mt,ETntsce,3500,5,,450
Super built-up  Area,Ready To Move,Begur,2 sq mt,Viodspr,1100,2,2,55
Super built-up  Area,18-Dec,Chandapura,2 sq mt,,674,1,1,19.9
Super built-up  Area,Ready To Move,Koramangala,2 sq mt,Proodt ,1320,2,1,160
Plot  Area,Ready To Move,Vishveshwarya Layout,4 sq km,,600,4,2,85
Super built-up  Area,Ready To Move,Electronics City Phase 1,2 sq mt,PSmalsh,1125,2,2,65
Super built-up  Area,Ready To Move,Nagavara,2 sq mt,,1125,2,2,44.5
Super built-up  Area,Ready To Move,Baba Nagar,2 sq mt,,700,2,1,29
Built-up  Area,Ready To Move,BTM Layout,3 sq mt,Lancya ,1300,2,1,75
Super built-up  Area,Ready To Move,JP Nagar,3 sq mt,Meowns ,1600,3,2,83
Super built-up  Area,18-Aug,Magadi Road,3 sq mt,Vrenty ,1052,2,1,60
Super built-up  Area,Ready To Move,Neelasandra,4 sq mt,,1140,3,1,145
Super built-up  Area,Ready To Move, Devarachikkanahalli,2 sq mt,Ladenea,1130,2,2,36
Plot  Area,Ready To Move,Yediyur,4 sq km,,1140,3,2,225
Super built-up  Area,Ready To Move,BTM 2nd Stage,3 sq mt,SNe 2ev,2200,3,3,220
Built-up  Area,Ready To Move,Electronic City,3 sq mt,GMown E,1500,2,1,63
Super built-up  Area,20-Dec,Old Madras Road,3 sq mt,Shmes O,1350,3,1,47.25
Super built-up  Area,Ready To Move,Gottigere,3 sq mt,MBireap,1230,2,2,52
Super built-up  Area,18-Apr,Haralur Road,3 sq mt,SNnia E,1520,2,2,85
Super built-up  Area,21-Dec,Kanakpura Road,1 sq mt,PrarePa,525,1,1,26.25
Super built-up  Area,20-Oct,Hosa Road,2 sq mt,Skume R,1040,2,1,61
Built-up  Area,Ready To Move,Upadhyaya Layout,3 sq mt,,1300,2,1,67
Super built-up  Area,18-Dec,Old Airport Road,4 sq mt,Jaades ,2690,4,3,201
Super built-up  Area,Ready To Move,Domlur,1 sq mt,Saiewas,780,1,1,70
Super built-up  Area,Ready To Move,Panathur,2 sq mt,Saite G,1140,2,1,51.2
Super built-up  Area,19-Jan,Chandapura,3 sq mt,SuVue S,1225,3,1,33.08
Built-up  Area,Ready To Move,Nagavarapalya,1 sq mt,MYncysi,646,1,0,25.84
Super built-up  Area,Ready To Move,Cox Town,3 sq mt,,1600,3,1,150
Super built-up  Area,18-Apr,Kadugodi,3 sq mt,Alestrb,1890,4,3,125
Built-up  Area,Ready To Move,Kadugodi,2 sq mt,,1050,2,1,34
Plot  Area,Ready To Move,Ittamadu,6 sq km,,1200,4,2,100
Super built-up  Area,Ready To Move,Whitefield,3 sq mt,BMttaor,1458,2,2,62
Plot  Area,Ready To Move,Naganathapura,5 sq km,,1200,6,0,86
Super built-up  Area,Ready To Move,Green Glen Layout,3 sq mt,,1970,3,2,160
Plot  Area,Ready To Move,Whitefield,3 sq km,,1808,4,0,80
Built-up  Area,Ready To Move,Balagere,2 sq mt,Soresea,1007,2,1,67
Super built-up  Area,Ready To Move,Doddathoguru,2 sq mt,M ondit,1105,2,1,50
Super built-up  Area,Ready To Move,Lakshminarayana Pura,3 sq mt,RothaVa,1700,3,3,150
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 sq mt,Dehts H,1170,2,3,50
Built-up  Area,Ready To Move,Chandapura,2 sq mt,GCbowai,1080,2,3,45
Super built-up  Area,Ready To Move,Kaggalipura,3 sq mt,Baowsig,1150,2,1,62
Super built-up  Area,19-Jul,Ramamurthy Nagar,2 sq mt,Vaharvi,1200,2,1,57.9
Super built-up  Area,Ready To Move,Jakkuru Layout,2 sq mt,,1200,2,1,54
Super built-up  Area,Ready To Move,Kudlu Gate,3 sq mt,Brlms P,1656,3,2,75
Plot  Area,18-Apr,bsk 6th stage 2ad block near sri conversation hall,4 sq km,,600,4,2,87
Super built-up  Area,Ready To Move,KR Puram,2 sq mt,Hivesdr,1040,2,2,50
Super built-up  Area,Ready To Move,Hosur Road,2 sq mt,Collsrn,1085,2,2,33.7
Super built-up  Area,18-Apr,Virat Nagar,3 sq mt,,1215,2,2,49.75
Built-up  Area,Ready To Move,NRI Layout,4 sq km,,2150,4,2,115
Plot  Area,Ready To Move,Hoodi,4 sq km,Kreera ,1100,4,1,120
Super built-up  Area,18-Feb,Panathur,2 sq mt,,1210,2,1,77
Built-up  Area,Ready To Move,Kallumantapa,2 sq mt,SMncyy ,1050,2,1,55
Plot  Area,Ready To Move,"Annapoorneshwari Layout, JP nagar 7th phase",3 sq km,,600,3,1,70
Super built-up  Area,18-Aug,Iblur Village,3 sq mt,DNionfl,1920,3,2,150
Super built-up  Area,Ready To Move,Uttarahalli,3 sq mt,,1250,2,1,50
Super built-up  Area,Ready To Move,Mysore Road,2 sq mt,PrntaEn,947.55,2,1,80
Built-up  Area,Ready To Move,Malleshpalya,2 sq mt,KencyRe,1421,2,1,90
Plot  Area,Ready To Move,Mudalpalaya,6 sq km,,1050,4,2,155
Super built-up  Area,18-May,Old Madras Road,3 sq mt,Saesttt,1425,2,2,74.31
Super built-up  Area,Ready To Move,Budigere,2 sq mt,PrityTr,1162,2,1,58
Super built-up  Area,18-Jul,Whitefield,1 sq mt,Prtates,905,1,1,60
Super built-up  Area,Ready To Move,Sarjapur  Road,2 sq mt,Shthi S,914,2,1,32
Built-up  Area,18-Apr,elachenahalli,2 sq mt,,1258,2,0,58
Plot  Area,Ready To Move,CV Raman Nagar,4 sq km,,1100,4,2,220
Plot  Area,Ready To Move,Hormavu,4 sq km,Prageta,3500,4,1,289
Plot  Area,Ready To Move,Poorna Pragna Layout,7 sq km,,2400,6,,450
Built-up  Area,Ready To Move,Ramagondanahalli,4 sq km,,4200,4,,800
Super built-up  Area,Ready To Move,Whitefield,3 sq mt,BMttaor,1537,2,3,70
Super built-up  Area,Ready To Move,Chikkalasandra,3 sq mt,,1230,2,2,53.51
Plot  Area,Ready To Move,B K Nagar,6 sq km,,2400,5,2,300
Super built-up  Area,Ready To Move,Malleshwaram,3 sq mt,Aimesya,2250,3,1,200
Plot  Area,Ready To Move,Hosur Road,4 sq km,KrineAq,2000,4,1,69
